route_name,analysis,left_epoch,right_epoch,break_index,pre_n,post_n,pre_slope,post_slope,sse_total,effect_size_mean_diff,p_value,ci_low,ci_high,phase6_track,result_family,effect_size,n,legacy_n,modern_n,tau,intercept,effect_metric,p_metric,ci_metric,year,window,n_docs,mean_combined_text_length,median_combined_text_length,mean_clean_text_length,section_not_found_rate,short_document_rate,mean_ttr,mean_non_ascii_rate,mean_digit_alpha_ratio,intro_not_found_rate,methods_not_found_rate,results_not_found_rate,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
Route_A_Modern,primary_breakpoint,,,,,,,,,,,,,Track_B,pett_breakpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route_A_Modern,sensitivity_best_break,2005-2009,2010-2014,1.0,2.0,4.0,-0.0010305047035215,-0.0008117185533046,2.1609907036423957e-06,-0.0250140894204378,0.0729635182408795,-0.0307941734790802,-0.0192340053617954,Track_B,pett_breakpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_307bc8dde1c8,10.5032_jae.1994.01054.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.01054.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.01054.json,Route_B_Legacy,ocr,era_3,7.0,19998.0,17660.0,750.0,2205.0,4622.0,0.0,0.0,0.0,0.0,7579.0,0.0,952.0,284.0,0.2983193277310924,0.0001319435281699,0.0974950441520994
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_ed5e87b1c995,10.5032_jae.1994.01061.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.01061.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.01061.json,Route_B_Legacy,ocr,era_3,5.0,17915.0,14897.0,532.0,1966.0,8068.0,0.0,0.0,0.0,0.0,10568.0,0.0,1400.0,425.0,0.3035714285714285,0.0003785011355034,0.064692709629261
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_4251b2a9740e,10.5032_jae.1994.02001.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02001.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02001.json,Route_B_Legacy,ocr,era_3,5.0,18053.0,15135.0,657.0,4264.0,3871.0,0.0,0.0,0.0,0.0,8794.0,0.0,1205.0,369.0,0.3062240663900415,0.0007959972708664,0.0361167292689974
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_0b91e61615d7,10.5032_jae.1994.02006.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02006.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02006.json,Route_B_Legacy,ocr,era_3,5.0,18740.0,15340.0,756.0,3022.0,5843.0,0.0,0.0,0.0,0.0,9623.0,0.0,1287.0,325.0,0.2525252525252525,0.0016626831549412,0.0321991917611784
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_d50296f6f837,10.5032_jae.1994.02011.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02011.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02011.json,Route_B_Legacy,ocr,era_3,5.0,17814.0,16834.0,773.0,2726.0,8418.0,0.0,0.0,0.0,0.0,11919.0,0.0,1506.0,269.0,0.1786188579017264,0.0010067958721369,0.0537692809037584
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_afdd9bc834c2,10.5032_jae.1994.02016.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02016.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02016.json,Route_B_Legacy,ocr,era_3,6.0,20524.0,16113.0,634.0,1750.0,7916.0,0.0,0.0,0.0,0.0,10302.0,0.0,1490.0,448.0,0.3006711409395973,0.0001941370607649,0.0426192842942345
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_336c17905a7b,10.5032_jae.1994.02022.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02022.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02022.json,Route_B_Legacy,ocr,era_3,5.0,16300.0,15504.0,1607.0,8487.0,8845.0,0.0,0.0,0.0,0.0,18941.0,0.0,2642.0,423.0,0.1601059803179409,0.0005279552293965,0.0201993875024434
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_a67403d34e2e,10.5032_jae.1994.02027.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02027.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02027.json,Route_B_Legacy,ocr,era_3,4.0,14840.0,12660.0,581.0,3812.0,1882.0,0.0,0.0,0.0,0.0,6277.0,0.0,874.0,301.0,0.3443935926773455,0.00015931177314,0.0244192972007147
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_2f261dfb1a19,10.5032_jae.1994.02031.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02031.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02031.json,Route_B_Legacy,ocr,era_3,6.0,23203.0,20353.0,293.0,3199.0,11758.0,0.0,0.0,0.0,0.0,15252.0,0.0,2378.0,752.0,0.3162321278385198,0.0016391292945187,0.0051140514652163
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_056ee24aa109,10.5032_jae.1994.02037.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02037.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02037.json,Route_B_Legacy,ocr,era_3,7.0,24663.0,23356.0,596.0,1794.0,16766.0,0.0,0.0,0.0,0.0,19158.0,0.0,2898.0,812.0,0.2801932367149758,0.0015137279465497,0.0039961327747341
