route_name,corpus_name,epoch,count,semantic_dispersion
Route_B_Legacy,JAE_Legacy_Audit,1960-1964,86,0.13306297361850739
Route_B_Legacy,JAE_Legacy_Audit,1965-1969,63,0.13043953478336334
Route_B_Legacy,JAE_Legacy_Audit,1970-1974,71,0.13171342015266418
Route_B_Legacy,JAE_Legacy_Audit,1975-1979,76,0.13165591657161713
