route_name,analysis,left_epoch,right_epoch,break_index,pre_n,post_n,pre_slope,post_slope,sse_total,effect_size_mean_diff,p_value,ci_low,ci_high
Route_A_Modern,primary_breakpoint,,,,,,,,,,,,
Route_A_Modern,sensitivity_best_break,2005-2009,2010-2014,1.0,2.0,4.0,-0.0010305047035215702,-0.0008117185533046644,2.1609907036423957e-06,-0.025014089420437813,0.07296351824087956,-0.0307941734790802,-0.019234005361795425
Route_B_Legacy,primary_breakpoint,1990-1994,1995-1999,6.0,7.0,1.0,,,,-0.04313767914261138,0.12493753123438281,-0.05144399936710084,-0.0341676715229239
Route_B_Legacy,sensitivity_best_break,1985-1989,1990-1994,5.0,6.0,2.0,0.0007984994990485191,-0.011236800253391565,0.0005205086066143417,-0.012871291488409042,0.5887056471764118,-0.04686653545747201,0.02111661930878958
