year,window,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
1985,audit_1985_1994,jae_d21a2d3354ca,10.5032_jaatea.1985.02040.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.02040.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.02040.json,Route_B_Legacy,ocr,era_3,7,12549,11720,817,4706,3590,0,0,0,0,9115,0,1389,373,0.2685385169186465,0.00032912781130005483,0.04703534777651083
1985,audit_1985_1994,jae_208a9076e54d,10.5032_jaatea.1985.02047.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.02047.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.02047.json,Route_B_Legacy,ocr,era_3,9,17725,16112,3901,4422,3793,0,0,0,0,12118,0,1648,513,0.3112864077669903,0.0006601749463607857,0.060930334134090415
1985,audit_1985_1994,jae_913bb6b268a9,10.5032_jaatea.1985.02056.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.02056.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.02056.json,Route_B_Legacy,ocr,era_3,9,19311,17135,891,2962,6944,0,0,0,0,10799,0,1537,429,0.27911515940143133,0.0004630058338735068,0.03321513002364066
1985,audit_1985_1994,jae_9a0e4b617316,10.5032_jaatea.1985.02065.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.02065.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.02065.json,Route_B_Legacy,ocr,era_3,8,14126,13099,873,1359,4659,0,0,0,0,6893,0,990,272,0.27474747474747474,0.0007253735673872045,0.08598017398341089
1985,audit_1985_1994,jae_77bf77236511,10.5032_jaatea.1985.03002.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03002.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03002.json,Route_B_Legacy,ocr,era_3,10,18450,17583,1226,1745,10044,0,0,0,0,13017,0,1810,533,0.29447513812154696,7.682261657832066e-05,0.028620988725065046
1985,audit_1985_1994,jae_799915ca3ae0,10.5032_jaatea.1985.03012.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03012.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03012.json,Route_B_Legacy,ocr,era_3,7,14203,12845,2886,2430,5243,0,0,0,0,10561,0,1460,393,0.2691780821917808,0.0002840640090900483,0.05406394923114474
1985,audit_1985_1994,jae_0cbb08f94949,10.5032_jaatea.1985.03019.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03019.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03019.json,Route_B_Legacy,ocr,era_3,9,17628,16452,752,1283,9635,0,0,0,0,11672,0,1473,329,0.22335369993211135,0.00205620287868403,0.14878452335497008
1985,audit_1985_1994,jae_bee0d3e1c1f9,10.5032_jaatea.1985.03028.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03028.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03028.json,Route_B_Legacy,ocr,era_3,9,17555,15751,1815,2934,8768,0,0,0,0,13519,0,1740,537,0.3086206896551724,0.0005177897773503957,0.12029031913758138
1985,audit_1985_1994,jae_27751131c957,10.5032_jaatea.1985.03037.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03037.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03037.json,Route_B_Legacy,ocr,era_3,11,22802,22239,723,4935,13229,0,0,0,0,18889,0,2527,506,0.2002374356944994,0.0008999947059134946,0.044392051195688786
1985,audit_1985_1994,jae_8e12e4245f6a,10.5032_jaatea.1985.03048.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03048.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03048.json,Route_B_Legacy,ocr,era_3,9,18244,16629,1564,3677,11031,0,0,0,0,16274,0,2299,632,0.2749021313614615,0.0004915816640039326,0.0405103668261563
